PL,NAME,YEAR,TEAM,TIME,SOURCE_FILE,EVENT_DATE
4,Roy Miller,FR-1,Highland CC,21.57,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
5,Durrell Collins,FR-1,Fort Scott CC,21.60,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
6,Johnathan Crawford,SO-2,Coffeyville CC,21.66,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
7,Michael Nworu,FR-1,Fort Scott CC,21.70,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
8,Devian King,SO-2,Butler CC,21.70,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
9,Jamal Flowers,SO-2,Colby CC,21.76,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
10,Ezekiel Seamster,SO-2,Hutchinson CC,21.83,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
11,Zyan Greene,FR-1,Coffeyville CC,21.95,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
12,D'Antonio Warren,FR-1,Hutchinson CC,21.96,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
13,Elijah Rowe,SO-2,Coffeyville CC,22.00,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
14,Nathan Farinha,SO-2,Butler CC,22.22,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
15,Gino Sapalo,FR-1,Pratt CC,22.24,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
16,Kendrick Jones,FR-1,Northwest Kansas,22.26,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
17,Albert House,FR-1,Dodge City CC,22.46,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
18,Siyabonga Jiyane Cowley,SO-2,College,22.46,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
19,D'Quan Williams,SO-2,Garden City CC,22.64,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
20,Dylan Daniels,FR-1,Allen CC,22.81,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
21,Quinjerus Miles,SO-2,Garden City CC,22.85,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
22,Trenton Bronaugh,FR-1,Hutchinson CC,22.89,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
23,Kobey Taylor,FR-1,Northwest Kansas,22.91,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
24,Jarronne Vann,FR-1,Pratt CC,22.93,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
25,JaMauri Brooks-Davis,FR-1,Pratt CC,22.99,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
26,Davonte Pruitt Cowley,SO-2,College,23.02,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
27,Thomas Grant,SO-2,Colby CC,23.05,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
28,Van Forbes,Jr,FR-1 Colby CC,23.07,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
29,Kollin Gretencord Cowley,FR-1,College,23.12,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
30,Jacob Romero,SO-2,Garden City CC,23.13,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
31,Vincent Ortiz,FR-1,Dodge City CC,23.21,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
32,Raphael Bruce-Smith,FR-1,Neosho County CC,23.40,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
33,Jayden Marquez,FR-1,Dodge City CC,23.53,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
34,Juan Garcia,SO-2,Neosho County CC,23.65,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
35,Wataru Muromachi,SO-2,Hesston,25.70,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
36,Nick Win,FR-1,Hesston,25.86,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
37,Jevaan Govender,FR-1,Neosho County CC,26.17,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
38,Mark Ruaburo,SO-2,Hesston,27.75,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
10,Ezekiel Seamster,SO-2,Hutchinson CC,21.83,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
13,Elijah Rowe,SO-2,Coffeyville CC,22.00,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
22,Trenton Bronaugh,FR-1,Hutchinson CC,22.89,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
23,Kobey Taylor,FR-1,Northwest Kansas,22.91,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
38,Mark Ruaburo,SO-2,Hesston,27.75,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
5,Durrell Collins,FR-1,Fort Scott CC,21.60,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
9,Jamal Flowers,SO-2,Colby CC,21.76,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
21,Quinjerus Miles,SO-2,Garden City CC,22.85,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
33,Jayden Marquez,FR-1,Dodge City CC,23.53,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
36,Nick Win,FR-1,Hesston,25.86,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
1,Josiyah Taylor,FR-1,Fort Scott CC,21.03,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
16,Kendrick Jones,FR-1,Northwest Kansas,22.26,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
20,Dylan Daniels,FR-1,Allen CC,22.81,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
34,Juan Garcia,SO-2,Neosho County CC,23.65,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
37,Jevaan Govender,FR-1,Neosho County CC,26.17,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
2,Jonathan Farinha,SO-2,Butler CC,21.45,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
4,Roy Miller,FR-1,Highland CC,21.57,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
24,Jarronne Vann,FR-1,Pratt CC,22.93,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
26,Davonte Pruitt Cowley,SO-2,College,23.02,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
3,Wanyae Belle,FR-1,Barton County CC,21.55,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
12,D'Antonio Warren,FR-1,Hutchinson CC,21.96,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
27,Thomas Grant,SO-2,Colby CC,23.05,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
30,Jacob Romero,SO-2,Garden City CC,23.13,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
7,Michael Nworu,FR-1,Fort Scott CC,21.70,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
8,Devian King,SO-2,Butler CC,21.70,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
28,Van Forbes,Jr,FR-1 Colby CC,23.07,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
31,Vincent Ortiz,FR-1,Dodge City CC,23.21,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
6,Johnathan Crawford,SO-2,Coffeyville CC,21.66,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
15,Gino Sapalo,FR-1,Pratt CC,22.24,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
19,D'Quan Williams,SO-2,Garden City CC,22.64,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
25,JaMauri Brooks-Davis,FR-1,Pratt CC,22.99,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
32,Raphael Bruce-Smith,FR-1,Neosho County CC,23.40,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
11,Zyan Greene,FR-1,Coffeyville CC,21.95,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
14,Nathan Farinha,SO-2,Butler CC,22.22,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
29,Kollin Gretencord Cowley,FR-1,College,23.12,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
17,Albert House,FR-1,Dodge City CC,22.46,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
18,Siyabonga Jiyane Cowley,SO-2,College,22.46,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
35,Wataru Muromachi,SO-2,Hesston,25.70,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
1,Mason Sartain,JR-3,Black Hills St. 22.41,10,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
2,Branden Werkele Chadron,FR-1,State 22.79,8,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
3,Jace Johnson,FR-1,Black Hills St. 22.83,6,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
4,Conor McGraw,,Senior Unattached 22.85,5,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
5,Eddie Johnson,SO-2,South Dakota Mines 22.89,4,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
6,Brendan Flock,FR-1,Black Hills St. 23.11,3,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
7,Jude Guevara,FR-1,Black Hills St. 23.67,2,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
8,Ethan Pitlick,JR-3,South Dakota Mines 23.70,1,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
1,Mason Sartain,JR-3,Black Hills St. 22.41,10,TFRRS _ 2024 Stinger Open - Men's 200 Meters.pdf,"February 17, 2024"
